date,temperature_c_850,temperature_c_500,rh_850,rh_500,tpw_mm,wind_speed_850,wind_speed_500,wind_speed_250,wind_dir_850,z500_m,mslp_hpa,lapse_rate
2020-06-01,19.302,-8.683,59.473,15.204,36.054,3.269,8.717,15.405,279.412,5802.511,,6.47
2020-06-01,19.08,-9.041,66.931,31.781,39.765,1.33,9.196,18.138,297.65,5832.574,,6.509
2020-06-01,20.818,-8.641,60.516,37.838,38.491,2.826,8.48,18.041,304.599,5821.467,,6.792
2020-06-01,20.721,-8.791,54.747,33.228,36.844,2.497,7.38,15.914,299.329,5831.167,,6.808
2020-06-02,20.394,-9.502,55.475,36.656,38.265,3.165,7.133,15.795,298.977,5807.112,,6.909
2020-06-02,20.558,-9.359,59.23,41.251,39.011,2.976,7.422,14.685,296.065,5823.122,,6.91
2020-06-02,22.21,-8.159,50.605,37.793,37.347,3.805,8.917,17.48,314.116,5809.771,,6.979
2020-06-02,22.139,-8.524,46.59,41.319,38.003,1.552,7.884,16.293,282.02,5812.292,,7.052
2020-06-03,21.504,-8.754,49.283,46.539,40.258,2.443,5.314,17.909,258.107,5792.692,,6.969
2020-06-03,20.899,-8.582,56.323,53.034,41.736,1.141,6.097,18.79,251.976,5810.469,,6.796
2020-06-03,22.098,-7.772,50.576,52.123,40.194,1.56,5.278,20.182,330.734,5799.513,,6.861
2020-06-03,21.958,-8.028,47.647,45.72,38.666,0.864,4.106,20.048,140.095,5806.659,,6.892
2020-06-04,21.44,-8.382,49.889,45.006,39.654,0.611,3.334,22.839,201.434,5788.36,,6.865
2020-06-04,21.192,-7.976,57.572,49.462,41.386,0.309,3.554,22.705,120.134,5808.979,,6.713
2020-06-04,22.306,-7.104,51.026,52.785,41.053,1.386,3.913,20.617,337.354,5795.848,,6.744
2020-06-04,21.699,-7.338,51.667,46.943,40.721,0.874,3.78,18.127,132.805,5800.488,,6.669
2020-06-05,20.599,-7.609,57.284,43.033,41.708,1.774,2.902,16.975,268.736,5775.76,,6.494
2020-06-05,20.257,-6.979,65.366,38.122,42.891,3.875,3.122,14.769,292.331,5794.43,,6.267
2020-06-05,21.381,-6.238,62.115,37.036,43.135,4.208,6.672,15.05,305.199,5787.147,,6.334
2020-06-05,21.158,-6.772,60.373,42.477,45.323,2.014,6.644,14.165,254.75,5796.708,,6.414
2020-06-06,20.037,-6.78,68.458,46.605,48.202,4.241,4.86,14.812,246.937,5783.988,,6.171
